PID,name,Wpadka
20038,Robert Kempka,85.27
21181,Piotr Łagoda,85.27
05446,Marek Szukała,85.0
05548,Janusz Zwierzyński,85.0
05696,Igor Łobodziński,84.73
05880,Marcin Zbroja,84.73
17411,Lech Jaworski,84.59
05017,Józef Grewling,84.46
20641,Maximilian Szemik,84.32
10457,Zdzisław Majer,84.19
15044,Piotr Surdyk,84.05
11293,Radzisław Oczkowicz,83.78
04876,Romuald Bartoszko,83.78
04956,Marek Domagała,83.65
05298,Michał Pabich,83.51
02049,Kazimierz Kuczyński,83.38
05242,Ewa Knapik,83.24
05038,Jerzy Gurzęda,83.11
03497,Jerzy Skwark,82.97
05357,Jerzy Roszak,82.7
05045,Przemysław Hauser,82.7
19106,Piotr Piątkiewicz,82.43
19475,Mariola Miklaszewska,82.43
05229,Adam Meller,82.3
14401,Mirosław Makuch,82.03
04469,Tomasz Stopierzyński,82.03
03387,Tadeusz Nędzi,81.89
18319,Rafał Przybysz,81.76
04261,Lech Grabski,81.62
01149,Jerzy Puchała,81.49
16717,Aleksander Swatler,81.35
01067,Leszek Jarosz,81.22
17301,Arkadiusz Jaranowski,81.08
09245,Tomasz Sinkiewicz,80.95
10352,Krzysztof Staśkiewicz,80.68
12093,Jarosław Marczewski,80.68
11594,Waldemar Wieremiejczyk,80.54
09736,Adam Motyka,80.27
09228,Karol Kałuziński,80.27
04365,Krzysztof Michalczyk,80.0
04519,Mirosław Zomkowski,80.0
13730,Grzegorz Cieślicki,79.73
01928,Halina Baran,79.73
01829,Andrzej Michalczyk,79.46
01821,Wiesława Nawojczyk,79.46
19346,Andrzej Dachtera,79.19
19403,Andrzej Grześko,79.19
21404,Marek Kwaśniak,79.05
20209,Marcin Dziuba,78.92
02071,Marek Marciniak,78.65
19598,Przemysław Wojtczak,78.65
20259,Jan Kot,78.51
09764,Bogusz Nalazek,78.38
13841,Marek Parol,78.11
04848,Maria Tomczewska,78.11
01508,Jarosław Molenda,77.84
01727,Artur Winkler,77.84
06041,Edward Niewierowski,77.7
01711,Lech Warężak,77.43
01381,Piotr Klubiński,77.43
12278,Michał Dolny,77.3
05216,Paweł Marek,77.16
06357,Jolanta Wiśniewska,76.89
10020,Jerzy Słomski,76.89
12694,Tadeusz Mediuch,76.76
01412,Wiesław Kozieł,76.49
16756,Marian Gołąbek,76.49
21562,Włodzimierz Misiaszek,76.35
05356,Leszek Rosochowicz,76.08
05350,Wojciech Robiński,76.08
20168,Bogusław Jarosz,75.95
08543,Marek Jaroszkiewicz,75.68
18076,Wiesław Olszewski,75.68
21888,Tomasz Niedzielski,75.41
21889,Małgorzata Niedzielska,75.41
01968,Sławomir Drewalski,75.14
02126,Sebastian Simonienko,75.14
18354,Małgorzata Buduła,75.0
18843,Wojciech Słysz,74.73
18821,Marek Melsztyński,74.73
09587,Zbigniew Wiśniewski,74.59
05454,Bogdan Świątek,74.32
04906,Jan Borychowski,74.32
12277,Łukasz Szczełkun,74.05
08359,Dariusz Piątek,74.05
06313,Adam Amrozy,73.78
14090,Grzegorz Zgorzelski,73.78
05967,Sabina Kaźmierska,73.51
05968,Aleksander Kaźmierski,73.51
20009,Roman Puzoń,73.24
21679,Józef Chowaniec,73.24
05102,Leszek Karwasiński,72.97
10443,Leszek Nowakowski,72.97
01220,Grzegorz Bajek,72.84
01633,Grzegorz Skowronek,72.57
06559,Tadeusz Cymbalista,72.57
16799,Tomasz Powęzka,72.3
11503,Mirosława Miętkiewska,72.3
04364,Piotr Mazur,72.03
04416,Bernard Pszczoła,72.03
18491,Tadeusz Dziadykiewicz,71.89
01128,Roman Opaliński,71.62
11319,Przemysław Zawada,71.62
01071,Jan Kadula,71.35
01006,Zdzisław Baryła,71.35
21367,Jakub Bereza,71.22
03855,Andrzej Mitka,70.95
