PID,name,szlemik
01831,Marian Kupnicki,68.92
04780,Grzegorz Gan,68.92
01508,Jarosław Molenda,68.92
20917,Józef Drążek,68.92
01727,Artur Winkler,68.92
14416,Irena Pruszko,68.92
01433,Aleksander Kud,68.92
21658,Andrzej Nasierowski,68.92
04430,Jan Rogowski,68.92
01781,Andrzej Aleksandrzak,68.92
20038,Robert Kempka,68.92
14780,Waldemar Wochna,68.92
14835,Andrzej Pożerski,68.92
04509,Janusz Wróblewski,68.92
15117,Tadeusz Osowski,68.92
03529,Jacek Szczerbowski,68.92
04618,Wiesława Kasperek,67.7
18892,Sławomir Gomulak,67.7
01912,Franciszek Zarzecki,67.7
01768,Jerzy Zatorski,67.7
08297,Leszek Pęcherzewski,67.7
01224,Marek Bałdysz,67.7
16130,Jerzy Kajzer,67.7
05517,Krzysztof Wośkowiak,67.7
06338,Aleksander Marciniak,67.7
15082,Krzysztof Lubkowski,67.43
15084,Mirosław Stelmaszyk,67.43
20067,Ewa Jaworska,67.3
06003,Robert Lewandowski,60.81
19684,Anna Smoluchowska,60.81
19770,Martyna Smoleń,60.81
19775,Ewa Nowińska,60.81
19776,Roman Nowiński,60.81
08247,Jan Jarmuż,60.81
08212,Zenon Biczkowski,60.81
08165,Marek Czerniawski,60.81
19912,Jan Łuczeczko,60.81
21062,Tomasz Pawlik,60.81
14508,Zdzisław Stoszek,60.81
12139,Remigiusz Kaźmierczak,60.81
14442,Marek Lenart,60.81
14411,Marcin Mazerant,60.81
14045,Jerzy Firs,60.81
01718,Bogumił Wegner,60.81
21337,Anna Napierajczyk,60.81
20259,Jan Kot,60.81
20830,Szymon Grabala,60.81
01621,Wojciech Sękowski,60.81
12416,Emilia Szajowska,60.81
21048,Adam Nagórny,60.81
13122,Sławomir Zagórski,60.81
18080,Sylwia Szczepańska,60.81
21525,Mariusz Trukawka,60.81
19663,Ewa Wawrowska,60.81
21367,Jakub Bereza,60.81
03799,Bogumił Kupczyk,60.81
03800,Elżbieta Kupczyk,60.81
05595,Zenon Darmaszek,60.81
05603,Kazimierz Dróżdż,60.81
05422,Piotr Stefański,60.81
09253,Andrzej Drzewiecki,60.81
05652,Cezary Kanar,60.81
18878,Bogdan Lipiński,60.81
04013,Jarosław Wojnowski,60.81
02197,Józef Żarski,60.81
21472,Małgorzata Skowrońska,60.81
05712,Jerzy Markowski,60.81
17221,Halina Perkowska,60.81
01287,Marek Drecki,60.81
08970,Bogusław Pawszak,60.81
21471,Matylda Brzyzka,60.81
02112,Franciszek Radwan,60.81
08539,Tomasz Zarębski,60.81
02103,Zdzisław Pleskot,60.81
16413,Bogusław Świeżawski,60.81
16231,Kazimierz Namysł,60.81
08855,Janusz Wierucki,60.54
08341,Jan Chmielewski,60.54
05079,Rafał Junik,60.27
05544,Jolanta Ziętara,60.27
01711,Lech Warężak,60.0
01381,Piotr Klubiński,60.0
22083,Mirosław Baj,59.86
02398,Sławomir Rutecki,59.59
02213,Tadeusz Birecki,59.59
02116,Andrzej Rękosiak,59.32
07906,Andrzej Parmonik,59.32
04601,Witold Kaliński,59.05
04559,Kazimierz Dominiak,59.05
05696,Igor Łobodziński,58.78
05880,Marcin Zbroja,58.78
12278,Michał Dolny,58.65
05632,Rafał Imiela,58.38
05870,Piotr Wnuk,58.38
01916,Dariusz Zbieg,55.81
01482,Stefan Małowiecki,55.81
20641,Maximilian Szemik,55.81
01067,Leszek Jarosz,55.81
12006,Danuta Krupnik,55.81
20797,Jakub Piłat,55.81
04949,Michał Dembiński,55.81
13905,Grzegorz Andrejczyk,55.81
01247,Zbigniew Bobak,55.81
10352,Krzysztof Staśkiewicz,55.81
07152,Jacek Mazurkiewicz,55.81
18644,Szymon Graś,55.81
20168,Bogusław Jarosz,55.81
21971,Ewa Powała,55.81
20209,Marcin Dziuba,55.81
06356,Maciej Wiącek,55.81
21972,Sławomir Powała,55.81
13906,Anna Andrejczyk,55.81
12093,Jarosław Marczewski,55.81
13730,Grzegorz Cieślicki,55.54
01928,Halina Baran,55.54
05217,Mirosław Markiewicz,55.27
02105,Grzegorz Pogodziński,55.27
08043,Piotr Zawiślak,55.0
08026,Andrzej Potrzyszcz,55.0
04265,Stanisław Charun,54.73
04329,Zbigniew Krzepkowski,54.73
02199,Wiesław Żegilewicz,54.46
02074,Bogusław Mazierski,54.46
18681,Paweł Fiebig,54.19
05216,Paweł Marek,54.19
18455,Pietro Vinci,54.05
10890,Krzysztof Popczyński,53.92
01037,Stanisław Drobot,53.65
01069,Tomasz Jędrzejek,53.65
05654,Dariusz Kardas,53.38
15153,Teresa Pudelewicz,53.38
01891,Gerard Szweda,51.76
04906,Jan Borychowski,51.76
13082,Krzysztof Bak,51.76
10896,Adam Michalczyk,51.76
19399,Bogumiła Kuryj,51.76
11940,Dariusz Serafin,51.76
15678,Janusz Struzik,51.76
09389,Jan Damazyn,51.76
10898,Zbigniew Ehlert,51.76
11789,Robert Kamiński,51.76
05454,Bogdan Świątek,51.76
07986,Wiesław Pawelec,51.76
04480,Waldemar Ślesicki,51.49
02202,Anna Dworakowska,51.49
10794,Aleksander Chrenowski,49.59
13580,Marek Fijałkowski,49.59
