,Unnamed: 0,PID,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka,PID,liczba_rozdan_na_rozgrywce,liczba_rozdan_na_obronie,liczba_rozdan_Kokosy_na_Obronie,liczba_rozdan_częściówka,liczba_rozdan_końcówka,liczba_rozdan_szlemik,liczba_rozdan_Wpadka
98,98,1965,52.80918367346939,54.90833333333333,72.501875,54.6824,56.89181818181819,30.765,36.2055,01965,49,36,16,25,22,2,20
99,99,1979,44.70980392156862,48.90636363636364,67.00574074074073,48.37181818181818,45.573,35.71333333333333,26.055208333333336,01979,102,121,54,55,60,6,48
100,100,1988,51.0375,58.88214285714286,69.09625,62.91375,50.622,20.43,26.795,01988,12,14,8,8,5,1,4
101,101,1999,48.23134615384615,48.97174603174603,72.62190476190476,46.02861111111111,50.515882352941176,52.496,22.69157894736842,01999,52,63,21,36,34,5,19
102,102,2008,45.40275,48.73926829268292,67.41764705882352,41.93727272727273,57.4125,16.83,21.154,02008,40,41,17,22,24,3,15
103,103,2012,46.56666666666667,47.53155555555556,73.695,46.45583333333334,36.44541666666667,52.805,36.064,02012,36,45,16,24,24,2,15
104,104,2017,41.057734375,47.17038461538461,72.32255319148936,44.96545454545455,44.40265957446809,29.85,22.981929824561405,02017,128,156,47,77,94,9,57
105,105,2033,42.62202898550725,49.75757142857143,72.0851724137931,43.09783783783784,47.66340909090909,54.376666666666665,18.405384615384616,02033,69,70,29,37,44,3,26
106,106,2034,53.541875000000005,47.25769230769231,62.944,63.795,41.52555555555556,39.94,26.17,02034,16,13,5,10,9,1,4
107,107,2056,42.51475,44.9521686746988,68.72121212121213,51.34916666666666,36.97581818181818,11.246666666666668,26.34527777777778,02056,80,83,33,36,55,3,36
108,108,2074,50.62959064327485,55.29968152866242,72.53582089552238,53.50438202247192,54.0872641509434,40.3175,28.65741379310345,02074,171,157,67,89,106,8,58
109,109,2076,41.648,51.011,77.35625,43.62083333333334,50.75315789473684,30.14,22.74333333333333,02076,35,20,8,12,19,1,15
110,110,2086,47.87614035087719,42.27162162162162,70.38964285714286,46.32524590163935,43.93829268292683,50.99181818181818,27.66116279069768,02086,114,111,28,61,82,11,43
111,111,2092,44.87352941176471,49.118125,72.90333333333334,56.125416666666666,47.75125,10.105,23.791052631578943,02092,51,32,12,24,24,4,19
112,112,2112,51.52176795580111,49.469456521739126,70.91132352941177,50.28416666666666,51.085440000000006,47.80357142857143,27.800645161290323,02112,181,184,68,96,125,14,62
113,113,2119,55.81655172413793,44.5916,71.793,46.10823529411765,47.51,62.18666666666667,33.92428571428572,02119,29,25,10,17,17,3,7
