,PID,średnia_na_rozgrywce,średnia_na_obronie,Kokosy_na_Obronie,częściówka,końcówka,szlemik,Wpadka
123,02234,52.50037037037037,47.69375,69.47714285714285,52.13214285714286,53.61388888888889,26.294999999999998,32.833
124,02243,42.25407079646018,43.53772727272727,72.7341935483871,40.93985714285714,45.9125,31.785,25.012600000000003
125,02295,48.83315789473684,45.23604651162791,66.15125,47.06,42.653076923076924,52.24333333333334,27.28909090909091
126,02320,49.19186991869919,45.02556451612903,68.34,44.481095890410955,48.835647058823525,51.16375,27.64404761904762
127,02337,37.35421052631579,46.038585858585854,69.22620689655172,42.15276923076923,43.55065217391304,21.89,25.747555555555557
128,02377,46.30947368421052,44.116603773584906,72.92444444444445,41.273714285714284,48.0658064516129,41.205,25.715454545454545
129,02384,48.63525641025641,45.29950819672131,72.8805,43.784285714285716,52.016400000000004,41.074999999999996,25.69607142857143
130,02413,48.69253731343284,46.376304347826085,71.8175,43.852758620689656,54.51641025641025,41.07,26.80875
131,02422,44.30826086956522,37.84275862068966,66.33285714285714,44.709375,38.406666666666666,28.55,20.936666666666667
132,02433,45.4675,52.60277777777778,75.89428571428572,36.322500000000005,54.01625,47.559999999999995,21.358
133,02439,48.28636363636363,41.99733333333334,77.1325,43.45333333333334,43.152727272727276,41.1,19.02
134,02445,48.86240506329114,47.26204819277108,71.8393103448276,46.89857142857143,43.967200000000005,51.38428571428572,31.23925925925926
135,02479,45.1282,43.134561403508776,61.92095238095238,45.608620689655176,47.832857142857144,39.660000000000004,22.383043478260866
136,02514,35.80767441860465,45.644705882352945,76.51666666666667,47.79294117647059,36.009047619047614,56.875,25.735000000000003
137,02552,53.358333333333334,39.044074074074075,69.31,41.77,50.879090909090905,2.54,28.340000000000003
138,02618,44.755,44.33978260869565,61.239285714285714,43.357,44.65684210526316,47.468333333333334,27.650769230769228
139,02806,60.26027777777777,51.4785,66.88111111111111,60.881875,63.67555555555556,95.58,31.763333333333335
140,02850,49.84647058823529,50.12837121212121,68.65433823529412,35.08117647058823,32.93533333333333,19.502222222222223,25.89125
141,02940,54.379841269841265,53.418301886792456,73.4259090909091,58.56594594594595,46.859,77.434,30.99318181818182
142,03021,46.2962,56.54421875,76.03208333333333,56.107777777777784,46.38730769230769,35.715999999999994,30.623478260869568
143,03030,51.09985714285714,47.051567164179104,69.39734693877551,52.841818181818184,51.45571428571428,33.015454545454546,24.606603773584908
144,03036,49.32730769230769,49.49555555555555,74.80521739130435,49.86322580645161,40.500344827586204,57.615,29.81736842105263
145,03144,47.553125,47.87942028985507,69.59724137931035,45.71666666666667,40.51103448275862,43.4325,32.305
146,03262,54.93000000000001,63.17,80.33285714285714,59.2175,57.53,33.2,41.81666666666667
147,03309,49.09323529411765,46.087264957264956,65.0170731707317,42.342727272727274,51.406666666666666,51.71888888888889,29.218648648648646
148,03311,49.09323529411765,46.087264957264956,65.0170731707317,42.342727272727274,51.406666666666666,51.71888888888889,29.218648648648646
149,03314,49.930277777777775,49.78568181818182,71.14,55.9024,40.37913043478261,84.0,22.866153846153846
150,03333,42.85026315789474,42.82468085106383,72.33533333333334,41.75,41.75185185185185,17.677500000000002,24.861250000000002
151,03375,50.876326530612246,49.74765625,71.49592592592592,50.1696,45.83266666666667,49.60833333333333,32.7812
152,03428,51.02307692307693,50.803953488372095,68.6055,48.27952380952381,52.8468,34.85666666666667,27.903846153846153
153,03435,36.902,53.21642857142857,68.74888888888889,51.44199999999999,42.34666666666667,79.57,19.636363636363637
